date,NO2
2024-01-01,10.831079106608152
2024-01-02,9.966593851311263
2024-01-03,11.233454641498081
2024-01-04,12.634321827017736
2024-01-05,10.086300459221658
2024-01-06,10.173951459792123
2024-01-07,12.981450049172839
2024-01-08,11.851079114012366
2024-01-09,10.08280865891102
2024-01-10,11.687725363429948
2024-01-11,10.265370548840295
2024-01-12,10.348235939492092
2024-01-13,11.495804195131461
2024-01-14,8.348642508983687
2024-01-15,8.716535316847317
2024-01-16,10.54545239849422
2024-01-17,9.954206523045952
2024-01-18,12.028967164438727
2024-01-19,10.279252157644539
2024-01-20,9.606049793677984
2024-01-21,14.005696509752768
2024-01-22,11.550753966507113
2024-01-23,12.072359104303514
2024-01-24,9.915022647917318
2024-01-25,11.316055319855868
2024-01-26,12.378880895234694
2024-01-27,10.565234330906002
2024-01-28,12.933836640355967
2024-01-29,11.547211066395297
2024-01-30,12.087800083696273
2024-01-31,11.699222271343466
2024-02-01,15.45588879350907
2024-02-02,12.73214104659617
2024-02-03,11.239940320295755
2024-02-04,14.133627033562046
2024-02-05,11.141009164088958
2024-02-06,13.357176175432048
2024-02-07,10.175102313648047
2024-02-08,11.192155377985094
2024-02-09,13.548633421237405
2024-02-10,14.429008918871677
2024-02-11,13.64536979661315
2024-02-12,13.28087488469072
2024-02-13,13.067724358341843
2024-02-14,11.365613517276639
2024-02-15,12.566612447277013
2024-02-16,13.017350470779013
2024-02-17,15.35485170999308
2024-02-18,14.344368007014756
2024-02-19,11.243047904442637
2024-02-20,14.431280250386784
2024-02-21,13.423939191459114
2024-02-22,13.041433984098802
2024-02-23,15.028416088152753
2024-02-24,15.710300494136739
2024-02-25,15.612420767738744
2024-02-26,13.007158799226666
2024-02-27,13.851421784262413
2024-02-28,14.860147544512747
2024-02-29,15.873325307142997
2024-03-01,13.736731404638105
2024-03-02,14.221206499297427
2024-03-03,12.883099275800946
2024-03-04,12.789891037863429
2024-03-05,15.843269691356422
2024-03-06,16.697790403345227
2024-03-07,14.593023065862807
2024-03-08,16.24259343088925
2024-03-09,15.31464176866122
2024-03-10,13.83802982368192
2024-03-11,15.379943338027934
2024-03-12,17.175655084264612
2024-03-13,14.84421280364799
2024-03-14,17.272862202941393
2024-03-15,11.02280947165287
2024-03-16,16.210389585634516
2024-03-17,15.131786587193725
2024-03-18,14.574950153876161
2024-03-19,15.181906587211575
2024-03-20,12.082269776957219
2024-03-21,14.752021390738896
2024-03-22,15.633647793722664
2024-03-23,17.329809081947634
2024-03-24,14.349087286548375
2024-03-25,13.925808919171427
2024-03-26,14.396499602173492
2024-03-27,16.53135078193984
2024-03-28,15.659011196825237
2024-03-29,14.377403974689319
2024-03-30,15.946626768132901
2024-03-31,15.325544077275655
2024-04-01,16.634617814780363
2024-04-02,14.12881378692345
2024-04-03,14.689164349527635
2024-04-04,14.589781481879758
2024-04-05,12.978480826908786
2024-04-06,15.612268429465512
2024-04-07,15.552533182399303
2024-04-08,15.16001291885732
2024-04-09,14.790387832040222
2024-04-10,13.007675128632352
2024-04-11,14.48676688446271
2024-04-12,14.58921207568918
2024-04-13,13.883967151602231
2024-04-14,14.82810921311097
2024-04-15,15.657330035805167
2024-04-16,17.860315967499446
2024-04-17,15.271261169418324
2024-04-18,15.372658336373338
2024-04-19,14.850190558550485
2024-04-20,12.05782550683437
2024-04-21,14.86893887914806
2024-04-22,14.970395496972513
2024-04-23,18.544876040370475
2024-04-24,14.530065794250499
2024-04-25,15.238164190163735
2024-04-26,14.69966331005414
2024-04-27,12.96326423502349
2024-04-28,16.39373946091899
2024-04-29,15.769313831180899
2024-04-30,15.788568204589378
2024-05-01,13.197254311726567
2024-05-02,16.623564009352616
2024-05-03,12.373367846270249
2024-05-04,15.311950210872865
2024-05-05,17.671630124946216
2024-05-06,12.853200421428562
2024-05-07,13.441407127107588
2024-05-08,14.390985011567434
2024-05-09,13.435769349258713
2024-05-10,11.813298717435714
2024-05-11,14.189301414379655
2024-05-12,12.439032751375413
2024-05-13,14.687793181387683
2024-05-14,12.542086133241755
2024-05-15,16.188860993968426
2024-05-16,12.630752839383723
2024-05-17,13.263168236235868
2024-05-18,14.906136571506817
2024-05-19,11.778155473055351
2024-05-20,13.903242782895884
2024-05-21,15.459396733446102
2024-05-22,11.023135603080004
2024-05-23,13.646056853276647
2024-05-24,13.692763526719993
2024-05-25,14.408614743827446
2024-05-26,11.312523737242763
2024-05-27,11.118483211515425
2024-05-28,13.812468712768316
2024-05-29,13.40461270408698
2024-05-30,13.26366682678476
2024-05-31,13.335625913141984
2024-06-01,11.723198644843825
2024-06-02,13.018176592172892
2024-06-03,13.035265590319277
2024-06-04,11.449313632795809
2024-06-05,15.244032182666759
2024-06-06,13.080018154802858
2024-06-07,10.505603698020602
2024-06-08,13.200094631573466
2024-06-09,10.67538555707355
2024-06-10,13.239641011535065
2024-06-11,13.717999507519538
2024-06-12,10.669684626117194
2024-06-13,13.265908280685082
2024-06-14,12.359709703814346
2024-06-15,12.892905379012015
2024-06-16,14.423888516749754
2024-06-17,11.129132446041046
2024-06-18,10.284782328697414
2024-06-19,9.99896806996257
2024-06-20,10.02708351050872
2024-06-21,11.052436669164834
2024-06-22,11.596863629577618
2024-06-23,11.416999578278826
2024-06-24,12.159372446483784
2024-06-25,10.854566347222876
2024-06-26,12.931687615354079
2024-06-27,10.270606646914691
2024-06-28,14.66395883875429
2024-06-29,11.43825251284856
2024-06-30,9.130020204193185
2024-07-01,8.725406931917806
2024-07-02,10.97145298663862
2024-07-03,9.828583864294743
2024-07-04,11.150872894494235
2024-07-05,10.705908554786523
2024-07-06,9.803099962537736
2024-07-07,8.558580579652814
2024-07-08,7.473090078777787
2024-07-09,8.992365454840414
2024-07-10,10.86372546851024
2024-07-11,9.817494870260132
